l,m,v,n,t,b
0,0.006614106184243299,0.0004962853556159541,1467,Ks,SRR9847303_vs_SRR9847535
0,2.3159636413569562e-05,1.73998023034325e-07,1470,Ks,SRR9847303_vs_SRR9847510
0,0.00718396775130533,0.0006532286277183834,1455,Ks,SRR9847070_vs_SRR9847535
0,0.006720561838579151,0.0005045382007626936,1462,Ks,SRR9847535_vs_SRR9847633
0,0.006613284230830607,0.0004965312849300786,1459,Ks,SRR9847154_vs_SRR9847535
0,0.0010905020767799291,0.00021525676600024025,1467,Ks,SRR9847070_vs_SRR9847633
0,1.922730566806669e-05,1.3154437555184825e-07,1477,Ks,SRR9847303_vs_SRR9847585
0,2.898466509379431e-05,8.509890311547595e-08,1465,Ks,SRR9847048_vs_SRR9847154
0,2.36431546655467e-05,1.0473362506032082e-07,1462,Ks,SRR9847510_vs_SRR9847585
0,1.898312904373003e-05,5.570447011626563e-08,1466,Ks,SRR9847048_vs_SRR9847585
0,2.913775814577742e-05,1.606776088655598e-07,1477,Ks,SRR9847154_vs_SRR9847303
0,0.007171536193525274,0.0005367498340082011,1481,Ks,SRR9847118_vs_SRR9847303
0,0.0005280795136084292,0.00015948733789091621,1462,Ks,SRR9847070_vs_SRR9847154
0,0.000583201183988697,5.696855029103267e-05,1466,Ks,SRR9847048_vs_SRR9847633
0,0.0005308819267211722,0.00015849429643267327,1472,Ks,SRR9847070_vs_SRR9847303
0,0.0070940008250951194,0.0005255171153766648,1466,Ks,SRR9847118_vs_SRR9847154
0,0.0066054211776920444,0.0004965661488853231,1457,Ks,SRR9847048_vs_SRR9847535
0,0.0070039330188872255,0.0005164719413344689,1469,Ks,SRR9847118_vs_SRR9847585
0,0.000587785738957149,5.7012074726321175e-05,1466,Ks,SRR9847510_vs_SRR9847633
0,0.0005772740197354386,5.643265285401441e-05,1482,Ks,SRR9847303_vs_SRR9847633
0,1.855571351691186e-05,1.252891437203854e-07,1469,Ks,SRR9847048_vs_SRR9847303
0,0.005790370340828545,0.00042720530067202607,1465,Ks,SRR9847154_vs_SRR9847644
0,0.0005855450546593006,5.679259426847465e-05,1471,Ks,SRR9847154_vs_SRR9847633
0,0.0005269129646584778,0.0001593879455627988,1463,Ks,SRR9847070_vs_SRR9847585
0,0.007291747283993239,0.0005420014261303846,1473,Ks,SRR9847118_vs_SRR9847633
0,0.005906200274324926,0.0004378286031510794,1470,Ks,SRR9847633_vs_SRR9847644
0,0.005774123334331511,0.0004260043770969665,1479,Ks,SRR9847303_vs_SRR9847644
0,2.32524565702661e-05,7.693554463079206e-08,1471,Ks,SRR9847154_vs_SRR9847585
0,3.372914998038559e-05,1.3437366487075665e-07,1459,Ks,SRR9847154_vs_SRR9847510
0,0.006554969108368824,0.0004939606171348079,1461,Ks,SRR9847535_vs_SRR9847585
0,0.005770738123375812,0.0004256128165604963,1467,Ks,SRR9847585_vs_SRR9847644
0,0.004399191621508238,0.00032540154720668037,1467,Ks,SRR9847118_vs_SRR9847535
0,0.006605954766151419,0.0004973691623306524,1449,Ks,SRR9847510_vs_SRR9847535
0,0.000574417001207613,5.665951011784666e-05,1474,Ks,SRR9847585_vs_SRR9847633
0,0.003265111897892693,0.0002712243539112376,51349,Ks,all
0,0.005507527978652923,0.00039224187356041876,1463,Ks,SRR9847535_vs_SRR9847644
